post_id,text,post_text,shared_text,time,image,video,likes,comments,shares,post_url,link
,"Coffee table with small drawer
Measuring 149 x 49 x 43 cm
Pick up only - Kiryat Eliyezer","Coffee table with small drawer
Measuring 149 x 49 x 43 cm
Pick up only - Kiryat Eliyezer",,,https://scontent.fhfa1-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p228x119/117323891_10217337402850323_4609485406124830662_n.jpg?_nc_cat=102&_nc_sid=07e735&_nc_ohc=pOp-dVc2iGAAX9DzA-k&_nc_ht=scontent.fhfa1-1.fna&tp=3&oh=f90dcefe276c6af848945d5a81d6d833&oe=5F5E1852,,0,0,0,,
,,,,,,,,,,,
"10,159,478,298,275,600.00","Midori Intrator‎Haifa 2nd-Hand: Buy, Sell & Swap
August 8 at 3:22 PM ·
Expandable table
100 x 60 x 76 cm (closed)
160 x 60 x 76 cm (open)
Pick up only - Kiryat Eliyezer",,"Midori Intrator‎Haifa 2nd-Hand: Buy, Sell & Swap
August 8 at 3:22 PM ·
Expandable table
100 x 60 x 76 cm (closed)
160 x 60 x 76 cm (open)
Pick up only - Kiryat Eliyezer",,,,0,0,0,,
,,,,,,,,,,,
,"Expandable table
100 x 60 x 76 cm (closed)
160 x 60 x 76 cm (open)
Pick up only - Kiryat Eliyezer","Expandable table
100 x 60 x 76 cm (closed)
160 x 60 x 76 cm (open)
Pick up only - Kiryat Eliyezer",,,https://scontent.fhfa1-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p228x119/117391630_10217337395850148_6502253761709185839_n.jpg?_nc_cat=102&_nc_sid=07e735&_nc_ohc=lTUmro5NJ_kAX_j4qBK&_nc_ht=scontent.fhfa1-1.fna&tp=3&oh=23f293e0eb43709655869a6da50b0f69&oe=5F6190C3,,0,0,0,,
,,,,,,,,,,,
"10,159,478,030,605,600.00",,,,,,,0,0,0,,
,,,,,,,,,,,
"10,159,477,812,625,600.00",,,,,,,0,0,0,,
,,,,,,,,,,,
"10,159,474,553,230,600.00",,,,,,,0,0,0,,
,,,,,,,,,,,
"10,159,471,356,015,600.00","Shira-Rebecca James
August 2 at 6:43 AM ·
***דירת 3 חדרים בנווה שאנן מקסימה ומרוהטת בקרבת הטכניון ***
• סלון + שני חדרי שינה.
• רחוב : גדליהו 13
• קומה: -1
• מחיר 2500 ש""ח בלבד!
• ארנונה 400 ש""ח לחודשיים
• מעולה לזוגות / 2 שותפים
• כניסה - מיידית
***ריהוט חלקי - 3 מזגנים, מקרר, כיריים, ארון בחדר שינה, פינת אוכל, טלוויזיה ושידת טלוויזיה בסלון.***
***מיקום מצוין בקרבת הטכניון***
• כ-10 דקות הליכה לטכניוןן.
• כ- 12 דקות נסיעת אוטובוס בקו , 141,142 (תדירות כל 20 דקות ותחנה
קרוב לבית)
*** לפרטים נוספים- נעם 0545-871865 ***",,"Shira-Rebecca James
August 2 at 6:43 AM ·
***דירת 3 חדרים בנווה שאנן מקסימה ומרוהטת בקרבת הטכניון ***
• סלון + שני חדרי שינה.
• רחוב : גדליהו 13
• קומה: -1
• מחיר 2500 ש""ח בלבד!
• ארנונה 400 ש""ח לחודשיים
• מעולה לזוגות / 2 שותפים
• כניסה - מיידית
***ריהוט חלקי - 3 מזגנים, מקרר, כיריים, ארון בחדר שינה, פינת אוכל, טלוויזיה ושידת טלוויזיה בסלון.***
***מיקום מצוין בקרבת הטכניון***
• כ-10 דקות הליכה לטכניוןן.
• כ- 12 דקות נסיעת אוטובוס בקו , 141,142 (תדירות כל 20 דקות ותחנה
קרוב לבית)
*** לפרטים נוספים- נעם 0545-871865 ***",,https://scontent.fhfa1-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p320x320/116605561_1799939106810986_718422867790895862_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=lCprfZzlvZgAX9r-apV&_nc_ht=scontent.fhfa1-1.fna&tp=3&oh=80efc1344ac675ee79bd54646bb2dcda&oe=5F609C9D,,0,0,0,https://m.facebook.com/story.php?story_fbid=1799939180144312&id=100003847438666,
,,,,,,,,,,,
"10,159,464,940,865,600.00",,,,,,,0,0,0,,
,,,,,,,,,,,
"10,159,461,994,380,600.00","Anny Randy‎Technion International community
August 6 at 10:23 AM ·
60m2 apartment for rent from 1st October, entry flexible. 2200 nis. 7 min walk from Technion main gate, located in Fichman street. Very quiet area. Pets allowed! Ideal for a couple or a single student. In the apartment remains fridge, stoves, washing machine, bed (without mattress), and closet.
PM me if interested.",,"Anny Randy‎Technion International community
August 6 at 10:23 AM ·
60m2 apartment for rent from 1st October, entry flexible. 2200 nis. 7 min walk from Technion main gate, located in Fichman street. Very quiet area. Pets allowed! Ideal for a couple or a single student. In the apartment remains fridge, stoves, washing machine, bed (without mattress), and closet.
PM me if interested.",,,,0,0,0,,
,,,,,,,,,,,
,"60m2 apartment for rent from 1st October, entry flexible. 2200 nis. 7 min walk from Technion main gate, located in Fichman street. Very quiet area. Pets allowed Ideal for a couple or a single student. In the apartment remains fridge, stoves, washing machine, bed (without mattress), and closet.
PM me if interested.","60m2 apartment for rent from 1st October, entry flexible. 2200 nis. 7 min walk from Technion main gate, located in Fichman street. Very quiet area. Pets allowed! Ideal for a couple or a single student. In the apartment remains fridge, stoves, washing machine, bed (without mattress), and closet.
PM me if interested.",,,https://scontent.fhfa1-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/s206x206/117314921_10224011805631105_5077217069935626467_o.jpg?_nc_cat=106&_nc_sid=07e735&_nc_ohc=xO4sfJ421rUAX_2VutW&_nc_ht=scontent.fhfa1-1.fna&tp=9&oh=b40b9ea5b5652e356010ce8a6f21e545&oe=5F60AD71,,0,0,0,,
,,,,,,,,,,,
"10,159,455,768,690,600.00","Shira-Rebecca James
August 2 at 6:43 AM ·
***דירת 3 חדרים בנווה שאנן מקסימה ומרוהטת בקרבת הטכניון ***
• סלון + שני חדרי שינה.
• רחוב : גדליהו 13
• קומה: -1
• מחיר 2500 ש""ח בלבד!
• ארנונה 400 ש""ח לחודשיים
• מעולה לזוגות / 2 שותפים
• כניסה - מיידית
***ריהוט חלקי - 3 מזגנים, מקרר, כיריים, ארון בחדר שינה, פינת אוכל, טלוויזיה ושידת טלוויזיה בסלון.***
***מיקום מצוין בקרבת הטכניון***
• כ-10 דקות הליכה לטכניוןן.
• כ- 12 דקות נסיעת אוטובוס בקו , 141,142 (תדירות כל 20 דקות ותחנה
קרוב לבית)
*** לפרטים נוספים- נעם 0545-871865 ***",,"Shira-Rebecca James
August 2 at 6:43 AM ·
***דירת 3 חדרים בנווה שאנן מקסימה ומרוהטת בקרבת הטכניון ***
• סלון + שני חדרי שינה.
• רחוב : גדליהו 13
• קומה: -1
• מחיר 2500 ש""ח בלבד!
• ארנונה 400 ש""ח לחודשיים
• מעולה לזוגות / 2 שותפים
• כניסה - מיידית
***ריהוט חלקי - 3 מזגנים, מקרר, כיריים, ארון בחדר שינה, פינת אוכל, טלוויזיה ושידת טלוויזיה בסלון.***
***מיקום מצוין בקרבת הטכניון***
• כ-10 דקות הליכה לטכניוןן.
• כ- 12 דקות נסיעת אוטובוס בקו , 141,142 (תדירות כל 20 דקות ותחנה
קרוב לבית)
*** לפרטים נוספים- נעם 0545-871865 ***",,https://scontent.fhfa1-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p320x320/116605561_1799939106810986_718422867790895862_o.jpg?_nc_cat=103&_nc_sid=8024bb&_nc_ohc=lCprfZzlvZgAX9r-apV&_nc_ht=scontent.fhfa1-1.fna&tp=3&oh=80efc1344ac675ee79bd54646bb2dcda&oe=5F609C9D,,0,0,0,https://m.facebook.com/story.php?story_fbid=1799939180144312&id=100003847438666,
,,,,,,,,,,,
"10,159,448,524,510,600.00",,,,,https://scontent.fhfa1-2.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p320x320/116576123_1799956780142552_421691759589292898_o.jpg?_nc_cat=101&_nc_sid=ca434c&_nc_ohc=ontFf6oQrl0AX9dfJq_&_nc_ht=scontent.fhfa1-2.fna&tp=3&oh=ae8b6a22a2ed6b0fed861980987d88e1&oe=5F5E6395,,0,0,3,,
,,,,,,,,,,,
"10,159,445,130,710,600.00","Looking for someone to replace me at a nice 3 roommate apartment on Gedaliahu street. Apartment is walking distance from Technion and Ziv center. Very suitable for the students. Room has a closet, shelf, bed (with mattress), cupboard, table and chair. Apartment has 1.5 toilets, well equipped kitchen with fridge, oven, washing machine etc and a living room. Owners are really nice and very helpful.
Rent is 1170+ arnona+ bills.
Starting date:1.10 . It may be possible to enter in September.
Message me in private for further information. You can also contact owner (David Bunis) at 02-5352517.","Looking for someone to replace me at a nice 3 roommate apartment on Gedaliahu street. Apartment is walking distance from Technion and Ziv center. Very suitable for the students. Room has a closet, shelf, bed (with mattress), cupboard, table and chair. Apartment has 1.5 toilets, well equipped kitchen with fridge, oven, washing machine etc and a living room. Owners are really nice and very helpful.
Rent is 1170+ arnona+ bills.
Starting date:1.10 . It may be possible to enter in September.
Message me in private for further information. You can also contact owner (David Bunis) at 02-5352517.",,,https://scontent.fhfa1-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p160x160/116434785_3181892901880259_73726696869224382_o.jpg?_nc_cat=110&_nc_sid=07e735&_nc_ohc=SxqxibsrCRkAX_lUmjz&_nc_ht=scontent.fhfa1-1.fna&tp=3&oh=fe53257a0618d1f2fa3b0f3f4b00b419&oe=5F5F1029,,0,0,0,,
,,,,,,,,,,,
"10,159,442,836,155,600.00",,,,,,,0,0,0,,
,,,,,,,,,,,
"10,159,438,991,090,600.00","The location is great, the apartment is amazing, and the two remaining roommates are even better!
*1400nis for the small room.
*1800nis for the large one (which includes its own bathroom with shower, and a walk-in coset).
Kitchen is fully equipped and there's air conditioning in every room.
Remaining in the apartment are an American post-doc at the Technion, and a recent graduate of the Technion's grad school from Venezuela (currently working in the high-tech industry).
Entry in September","The location is great, the apartment is amazing, and the two remaining roommates are even better!
*1400nis for the small room.
*1800nis for the large one (which includes its own bathroom with shower, and a walk-in coset).
Kitchen is fully equipped and there's air conditioning in every room.
Remaining in the apartment are an American post-doc at the Technion, and a recent graduate of the Technion's grad school from Venezuela (currently working in the high-tech industry).
Entry in September",,,https://scontent.fhfa1-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p160x160/116791218_10160081936668012_7552332644120421981_n.jpg?_nc_cat=110&_nc_sid=07e735&_nc_ohc=f1I7awWo94IAX-RMW0G&_nc_ht=scontent.fhfa1-1.fna&tp=3&oh=d773d501bd03039b1b55aaa8468f2767&oe=5F5F48AD,,2,0,0,,
,,,,,,,,,,,
"10,159,438,640,195,600.00",,,,,,,0,0,0,,
,,,,,,,,,,,
"10,159,435,152,525,600.00","חנן תורג'מן‎דירות להשכרה בקריות
July 25 at 4:12 PM ·",,"חנן תורג'מן‎דירות להשכרה בקריות
July 25 at 4:12 PM ·",,,,0,0,0,,
,,,,,,,,,,,
,,,,,,,0,0,0,,
,,,,,,,,,,,
"10,159,435,041,975,600.00",,,,,,,0,0,0,,
,,,,,,,,,,,
"10,159,431,829,115,600.00",,,,,,,0,0,0,,
,,,,,,,,,,,
"10,159,425,121,200,600.00","Looking for a room or a small flat for rent in Hadar, starting from September .
מחפש חדר או דירה קטנה להשכרה בהדר מתחלת ספטמבר.","Looking for a room or a small flat for rent in Hadar, starting from September .
מחפש חדר או דירה קטנה להשכרה בהדר מתחלת ספטמבר.",,,,,0,0,0,,
,,,,,,,,,,,
"10,159,412,387,440,600.00","Hi,
I am looking for someone to take my lease from now to Sep 30 with an option to renew it directly with the landlord. The apartment is a beautiful, newly renovated one bedroom apartment on Masada street(lots of cafes and bars) It is right next to the carmelit of Masada station and with a lot of other transportation option to all the important places in Haifa. The apartment is around 40 SQM, fully furnished and has everything you need, it is also possible for you to buy all the furniture that I bought with a good price:)
Rent is 2000nis/month without bills(with bills around 2300/month). Pm for more information","Hi,
I am looking for someone to take my lease from now to Sep 30 with an option to renew it directly with the landlord. The apartment is a beautiful, newly renovated one bedroom apartment on Masada street(lots of cafes and bars) It is right next to the carmelit of Masada station and with a lot of other transportation option to all the important places in Haifa. The apartment is around 40 SQM, fully furnished and has everything you need, it is also possible for you to buy all the furniture that I bought with a good price:)
Rent is 2000nis/month without bills(with bills around 2300/month). Pm for more information",,,https://scontent.fhfa1-2.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p160x160/110322307_3055584387901050_6470323753224722361_n.jpg?_nc_cat=105&_nc_sid=07e735&_nc_ohc=NYCzsqCEX3UAX-OQVny&_nc_ht=scontent.fhfa1-2.fna&tp=3&oh=e78f6bac9fdac422de30fe78732c43a1&oe=5F5E2710,,2,1,2,,
,,,,,,,,,,,
"10,159,408,779,315,600.00","***ENGLISH BELOW***
סאבלט. כניסה בתחילת אוגוסט עם אופציה להארכת החוזה.
חדר בבית 4 שותפים.
בשכונת נווה שאנן, מיקום מרכזי – צמוד למרכז זיו.
תחבורה ציבורית לכל רחבי העיר. פחות מ – 10 דקות הליכה מהטכניון, 10 דקות באוטובוס לאוניברסיטת חיפה ו 5 דקות לגרנד קניון.
מחיר: 1400 ₪ לחודש, 330 ₪ ארנונה לחודשיים.
בחדר יש ארון בגדים, בחללים המשותפים ציוד מלא (ריהוט, מוצרי חשמל, כלי מטבח..)
Sublet, with the option to extend the contract. Entry in early August.
A room is available in a 4-person apartment.
Close to Ziv center, less than 10 minute walk to the Technion and 10 minutes by bus to the University of Haifa. 5 minutes to Grand Canyon with busses to everywhere in the city.
~1400nis a month
~330nis arnona every two months
~Central air/heat in the room and a fully equipped common area and kitchen","***ENGLISH BELOW***
סאבלט. כניסה בתחילת אוגוסט עם אופציה להארכת החוזה.
חדר בבית 4 שותפים.
בשכונת נווה שאנן, מיקום מרכזי – צמוד למרכז זיו.
תחבורה ציבורית לכל רחבי העיר. פחות מ – 10 דקות הליכה מהטכניון, 10 דקות באוטובוס לאוניברסיטת חיפה ו 5 דקות לגרנד קניון.
מחיר: 1400 ₪ לחודש, 330 ₪ ארנונה לחודשיים.
בחדר יש ארון בגדים, בחללים המשותפים ציוד מלא (ריהוט, מוצרי חשמל, כלי מטבח..)
Sublet, with the option to extend the contract. Entry in early August.
A room is available in a 4-person apartment.
Close to Ziv center, less than 10 minute walk to the Technion and 10 minutes by bus to the University of Haifa. 5 minutes to Grand Canyon with busses to everywhere in the city.
~1400nis a month
~330nis arnona every two months
~Central air/heat in the room and a fully equipped common area and kitchen",,,https://scontent.fhfa1-2.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/s280x280/114223486_10158355477588904_7095625210367517903_o.jpg?_nc_cat=101&_nc_sid=07e735&_nc_ohc=nja_75q-5agAX_YNNcg&_nc_ht=scontent.fhfa1-2.fna&tp=9&oh=8cbb315dab61f5c6b0c857355b45f3ed&oe=5F6163C6,,2,0,0,,
,,,,,,,,,,,
"10,159,405,342,795,600.00","Hi!
Looking for a family to rent out our 3 room (2 bedrooms) apartment in beautiful kibbutz Beit Oren starting August 1. This includes a yard and garden, community parks, tennis, and pool, and much more. Pm me for details 🌳","Hi!
Looking for a family to rent out our 3 room (2 bedrooms) apartment in beautiful kibbutz Beit Oren starting August 1. This includes a yard and garden, community parks, tennis, and pool, and much more. Pm me for details 🌳",,,https://scontent.fhfa1-2.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p240x240/109713384_10158160021615831_820148270807565565_n.jpg?_nc_cat=105&_nc_sid=07e735&_nc_ohc=886DtJvUGxAAX_5rN0g&_nc_ht=scontent.fhfa1-2.fna&tp=3&oh=3dd610419f26f723bf2c47286caf6dc2&oe=5F6139DA,,0,0,0,,
,,,,,,,,,,,
"10,159,395,163,545,600.00","Three-room apartment in Gedalyahu street, number 13.
Air conditioners in each room. Partially furnished including, fridge-freezer, stove top, toaster oven, large wardrobe, desk, television and cabinet, dining table with 4 chairs.
Convenience store opposite the apartment, close to public transportation and a short walk to Ziv center and the Technion.
2500 shekels per month not including bills. Arnona 400 shekels (before student discount).
Pets are welcome, Available immediately.
For more details contact Noam: 054581865 or Shira: 0522576690.
דירת 3 חדרים משופצת בגדליהו 13.
מזגן בכל חדר וריהוט חלקי: מקרר, כיריים, טוסטר אובן, ארון גדול, שולחן עבודה, שולחן פינת אוכל עם 4 כיסאות, מזנון וטלוויזיה.
מרחק הליכה ממרכז זיו והטכניון עם תחבורה ציבורית צמודה וסופר קטן מול הבית.
מחיר 2500 לחודש (לא כולל חשבונות).
ארנונה 400 ש""ח (לפני הנחה).
מותר בעלי חיים.
כניסה מיידית.
לתיאום:
נעם: 0545871865
שירה: 0522576690","Three-room apartment in Gedalyahu street, number 13.
Air conditioners in each room. Partially furnished including, fridge-freezer, stove top, toaster oven, large wardrobe, desk, television and cabinet, dining table with 4 chairs.
Convenience store opposite the apartment, close to public transportation and a short walk to Ziv center and the Technion.
2500 shekels per month not including bills. Arnona 400 shekels (before student discount).
Pets are welcome, Available immediately.
For more details contact Noam: 054581865 or Shira: 0522576690.
דירת 3 חדרים משופצת בגדליהו 13.
מזגן בכל חדר וריהוט חלקי: מקרר, כיריים, טוסטר אובן, ארון גדול, שולחן עבודה, שולחן פינת אוכל עם 4 כיסאות, מזנון וטלוויזיה.
מרחק הליכה ממרכז זיו והטכניון עם תחבורה ציבורית צמודה וסופר קטן מול הבית.
מחיר 2500 לחודש (לא כולל חשבונות).
ארנונה 400 ש""ח (לפני הנחה).
מותר בעלי חיים.
כניסה מיידית.
לתיאום:
נעם: 0545871865
שירה: 0522576690",,,https://scontent.fhfa1-1.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p160x160/109508901_1785388021599428_4126949114913748595_o.jpg?_nc_cat=110&_nc_sid=07e735&_nc_ohc=3HOgK2GogWsAX8c2hjO&_nc_ht=scontent.fhfa1-1.fna&tp=3&oh=4ec4aea161cf05e4596cbde27834185c&oe=5F611890,,0,0,0,,
,,,,,,,,,,,
"10,159,392,335,985,600.00",Looking for a female roommate for a nice apartment in Bat Galim starting August 15th. 2000 ₪ per month not including utilities. Message me for more details :),Looking for a female roommate for a nice apartment in Bat Galim starting August 15th. 2000 ₪ per month not including utilities. Message me for more details :),,,,,0,0,0,,
,,,,,,,,,,,
"10,159,386,673,055,600.00","English below
Sergei Masis
July 12 at 9:44 AM ·
NOT RELEVANT :)
Eng follows
דירה להשכרה 1.5ח' על גג נורדאו 29 חיפה קומה4 כ40מר 1850שח כולל ארנונה מים. שכנה מקסימה אחת, שקט, נוף, אור, מזגן חזק. לוקיישן מצויין - תחב""צ, שוק, מכולות בשבת, תיאטרון, מלא צעירים מסביב, בתי קפה, פארקים, אוכלוסיה מגוונת אך לא בעייתית. עוזב בנסיבות משמחות אחרי 4 שנים. דוד שמש לא חשמל (אטמור, מספיק גם בחורף), אין גז, גישה מוגבלת לגג (בפרטי), מקום מאתגר למכונת כביסה (לא קניתי כי ""קפה המכבסה""..) . ריהוט - ארונות שולחן מקרר. כניסה - גמיש. פרטים בפרטי :)
For rent 1. 5rooms on the roof of Nordau 29 Haifa 4th floor ~40m2 1850nis arnona and water taxes Inc. Quiet, panoramic, lots of light and a strong AC. Great location - buses, market, Saturday shops, dog parks, coffee places, very cosmopolitan but not problematic neighborhood. Leaving after 4 years for good reasons. Sun boiler but not electrical, there is an ""Atmor"" heater, no gas, a limited access to the roof (pm), a not trivial place for a washing machine (i never got one to have an excuse to go to the Laundry cafe). Furniture: closets, table, fridge. Entrance date flexible. Pm me :)",English below,"Sergei Masis
July 12 at 9:44 AM ·
NOT RELEVANT :)
Eng follows
דירה להשכרה 1.5ח' על גג נורדאו 29 חיפה קומה4 כ40מר 1850שח כולל ארנונה מים. שכנה מקסימה אחת, שקט, נוף, אור, מזגן חזק. לוקיישן מצויין - תחב""צ, שוק, מכולות בשבת, תיאטרון, מלא צעירים מסביב, בתי קפה, פארקים, אוכלוסיה מגוונת אך לא בעייתית. עוזב בנסיבות משמחות אחרי 4 שנים. דוד שמש לא חשמל (אטמור, מספיק גם בחורף), אין גז, גישה מוגבלת לגג (בפרטי), מקום מאתגר למכונת כביסה (לא קניתי כי ""קפה המכבסה""..) . ריהוט - ארונות שולחן מקרר. כניסה - גמיש. פרטים בפרטי :)
For rent 1. 5rooms on the roof of Nordau 29 Haifa 4th floor ~40m2 1850nis arnona and water taxes Inc. Quiet, panoramic, lots of light and a strong AC. Great location - buses, market, Saturday shops, dog parks, coffee places, very cosmopolitan but not problematic neighborhood. Leaving after 4 years for good reasons. Sun boiler but not electrical, there is an ""Atmor"" heater, no gas, a limited access to the roof (pm), a not trivial place for a washing machine (i never got one to have an excuse to go to the Laundry cafe). Furniture: closets, table, fridge. Entrance date flexible. Pm me :)",,https://scontent.fhfa1-2.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p160x160/107813277_10158040867158183_1076237305353810934_o.jpg?_nc_cat=101&_nc_sid=8024bb&_nc_ohc=cpbf8JtdApgAX9Fxl62&_nc_ht=scontent.fhfa1-2.fna&tp=3&oh=11b5c904186a076d418fe22a416f54ca&oe=5F5E561C,,1,0,0,https://m.facebook.com/story.php?story_fbid=10158040892533183&id=560568182,
,,,,,,,,,,,
"10,159,385,967,445,600.00","I selling some Ikea home objects (see the pictures) AS NEW (bought one year ago, well kept and used very little) at half list price (the white baskets are 4, the green boxes are 2 and there are also 30 clothes hangers).
If you buy all, further discount: 500 nis (400 if you come and take all).
And an electric heater never used, in original packaging (50 nis).
I deliver to Haifa and surroundings; in the rest of the country only all together.
Send a private message on messenger.
Thank you","I selling some Ikea home objects (see the pictures) AS NEW (bought one year ago, well kept and used very little) at half list price (the white baskets are 4, the green boxes are 2 and there are also 30 clothes hangers).
If you buy all, further discount: 500 nis (400 if you come and take all).
And an electric heater never used, in original packaging (50 nis).
I deliver to Haifa and surroundings; in the rest of the country only all together.
Send a private message on messenger.
Thank you",,,https://scontent.fhfa1-2.fna.fbcdn.net/v/t1.0-0/cp0/e15/q65/p160x160/108232586_1157146781315243_8382047985355239818_n.jpg?_nc_cat=101&_nc_sid=07e735&_nc_ohc=tRrpHnQQETQAX93sxcB&_nc_ht=scontent.fhfa1-2.fna&tp=3&oh=731cf1ac9928762634d12e3bc5219bda&oe=5F61474B,,0,0,0,,
,,,,,,,,,,,
"10,159,382,147,870,600.00",,,,,,,0,0,0,,
,,,,,,,,,,,
